# gpu   mclk   pclk 
# Idx    MHz    MHz 
    0    405    210 
    1  10251   2760 
    0  10251   2700 
    1  10251   2760 
    0  10251   2685 
    1  10251   2760 
    0  10251   2700 
    1  10251   2760 
    0  10251   2685 
    1  10251   2760 
    0  10251   2685 
    1  10251   2760 
    0  10251   2700 
    1  10251   2760 
    0  10251   2685 
    1  10251   2760 
    0  10251   2700 
    1  10251   2760 
    0  10251   2700 
    1  10251   2760 
    0  10251   2685 
    1  10251   2760 
    0  10251   2700 
    1  10251   2760 
    0  10251   2700 
    1  10251   2760 
    0  10251   2685 
    1  10251   2760 
    0  10251   2700 
    1  10251   2760 
    0  10251   2700 
    1  10251   2760 
    0  10251   2685 
    1  10251   2760 
    0  10251   2700 
    1  10251   2760 
    0  10251   2700 
    1  10251   2760 
    0  10251   2685 
    1  10251   2760 
    0  10251   2700 
    1  10251   2760 
    0  10251   2700 
    1  10251   2760 
# gpu   mclk   pclk 
# Idx    MHz    MHz 
    0  10251   2685 
    1  10251   2760 
    0  10251   2685 
    1  10251   2760 
    0  10251   2700 
    1  10251   2760 
    0  10251   2685 
    1  10251   2760 
    0  10251   2700 
    1  10251   2760 
    0  10251   2700 
    1  10251   2760 
    0  10251   2685 
    1  10251   2760 
    0  10251   2700 
    1  10251   2775 
    0  10251   2700 
    1  10251   2760 
    0  10251   2685 
    1    405    210 
    0  10251   2700 
    1    405    210 
    0  10251   2535 
    1    405    210 
    0  10251   2535 
    1    405    210 
    0  10251   2535 
    1    405    210 
    0  10251   2535 
    1    405    210 
    0  10251   2535 
    1    405    210 
    0  10251   2535 
    1    405    210 
    0  10251   2535 
    1    405    210 
    0  10251   2535 
    1    405    210 
